Period,Value
01-08-2018,521962
01-09-2018,478595
01-10-2018,505194
01-11-2018,520956
01-12-2018,559289
01-01-2019,458089
01-02-2019,443708
01-03-2019,515694
01-04-2019,509413
01-05-2019,547130
01-06-2019,518273
01-07-2019,532103
01-08-2019,545247
01-09-2019,496074
01-10-2019,525539
01-11-2019,535352
01-12-2019,591380
01-01-2020,481862
01-02-2020,479868
01-03-2020,481513
